"","domain","phylum","class","order","family","genus","species","strain"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.278.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unknown_Oscillospiraceae","Unknown_Oscillospiraceae","Oscillospiraceae unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.372.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-314","CAG-1435","Unknown_CAG-1435","CAG-1435 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.614.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Unknown_Butyricicoccaceae","Unknown_Butyricicoccaceae","Butyricicoccaceae unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_8_1508.234.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","Unknown_CAG-460","CAG-460 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_9_1509.123.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","CAG-110 sp900549495","CAG-110 sp900549495"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_9_1509.37.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","Unknown_CAG-83","CAG-83 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_D_2_1542.167.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-1000","Unknown_CAG-1000_1","CAG-1000 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_D_2_1542.181.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900545495","CAG-83 sp900545495_1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_D_2_1542.21.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","Unknown_CAG-170","CAG-170 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_D_2_1542.5.fa","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","UBA636","Unknown_UBA636","UBA636 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_D_2_1542.8.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","UBA6414","Unknown_UBA6414","UBA6414 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_E_12_1563.87.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UMGS1994","Unknown_UMGS1994","UMGS1994 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_F_3_1566.108.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","RUG806","RUG806 sp900313475","RUG806 sp900313475"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_G_11_1585.69.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","Firm-11","Unknown_Firm-11","Firm-11 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_A_12_1112.181.fa","Bacteria","Proteobacteria","Alphaproteobacteria","Rs-D84","Unknown_Rs-D84","Unknown_Rs-D84","Unknown_Rs-D84_2","Proteobacteria unk"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_A_22_1120.86.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-877","Unknown_CAG-877","CAG-877 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_A_4_1104.133.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp003447295","Acetatifactor sp003447295"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_13_1594.256.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","UBA4644","Unknown_UBA4644","UBA4644 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_15_1593.107.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unknown_Gemmiger","Gemmiger sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_15_1593.194.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Unknown_Ruminococcaceae","Unknown_Ruminococcaceae","Ruminococcaceae unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_21_1589.140.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFFH01","Unknown_SFFH01","SFFH01 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_6_1603.67.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFFH01","Unknown_SFFH01","SFFH01 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_12_1619.100.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F","Unknown_Eubacterium_F","Eubacterium_F sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_14_1620.375.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unknown_Faecalibacterium","Faecalibacterium sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_16_1621.190.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","CAG-762","Unknown_CAG-762","CAG-762 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_1_1586.166.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp900546445","RC9 sp900546445"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_1_1586.17.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp900544195","RC9 sp900544195"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_1_1586.36.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","RUG705","Unknown_RUG705","RUG705 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.125.fa","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","WG-1","WG-1 sp900539665","WG-1 sp900539665"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.44.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus_F","Ruminococcus_F champanellensis","Ruminococcus_F champanellensis"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_19_1056.11.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","Unknown_CAG-110","CAG-110 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.251.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter","Unknown_Lawsonibacter","Lawsonibacter sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.330.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp900541925","RC9 sp900541925"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.340.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Unknown_Prevotella","Prevotella sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_10_1632.35.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","Unknown_CAG-272","Unknown_CAG-272","CAG-272 unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_10_1632.92.fa","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","UMGS973","Unknown_UMGS973","UMGS973 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_1_1575.109.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unknown_Blautia_A","Blautia_A sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.131.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger variabilis_B","Gemmiger variabilis_B"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.133.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unknown_Oscillospiraceae","Unknown_Oscillospiraceae","Oscillospiraceae unk genus_1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.179.fa","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Unknown_Bulleidia","Bulleidia sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_6_1630.96.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminiclostridium_E","Unknown_Ruminiclostridium_E","Ruminiclostridium_E sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_8_1631.155.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UBA737","Unknown_UBA737","UBA737 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_8_1631.160.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","RUG806","Unknown_RUG806","RUG806 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_14_1102.294.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","Unknown_RC9","RC9 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_6_1094.147.fa","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UMGS1253","UMGS1253","Unknown_UMGS1253_1","UMGS1253 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_6_1094.245.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA6382","UBA6382 sp900557555","UBA6382 sp900557555"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_6_1094.296.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","QAMX01","QAMX01","QAMX01 sp004555605","QAMX01 sp004555605"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_8_1096.106.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","CAG-110 sp900540635","CAG-110 sp900540635"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_8_1096.79.fa","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","UBA1829","UBA11452","Unknown_UBA11452","UBA11452 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_22_1650.180.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","Unknown_CAG-110","CAG-110 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_22_1650.254.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","CAG-841","CAG-841 sp000437375","CAG-841 sp000437375"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_24_1651.279.fa","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA791","Unknown_UBA791","UBA791 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_2_1640.133.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA10281","Unknown_UBA10281","UBA10281 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_2_1640.178.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS2055","UMGS2055 sp900557635","UMGS2055 sp900557635"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_2_1640.79.fa","Bacteria","Firmicutes_A","Clostridia","UMGS1810","UMGS1810","Unknown_UMGS1810","Unknown_UMGS1810","UMGS1810 unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_5_1561.66.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS911","UMGS911 sp900545935","UMGS911 sp900545935"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_I_4_1118.128.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","Unknown_UBA1777","UBA1777 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_I_4_1118.67.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-1138","CAG-1138 sp000434675","CAG-1138 sp000434675"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_I_8_1124.158.fa","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Unknown_Fibrobacteraceae","Unknown_Fibrobacteraceae","Fibrobacteraceae unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_18_1660.192.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","CAG-95 sp900553305","CAG-95 sp900553305"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_19_1543.61.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter sp004553545","Oscillibacter sp004553545"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_22_1662.223.fa","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","CAG-238","Unknown_CAG-238","CAG-238 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_12_1156.254.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","DTU072","CAG-1782","Unknown_CAG-1782","CAG-1782 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_14_1158.297.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-488","CAG-488 sp900539465","CAG-488 sp900539465"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_19_1040.98.fa","Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium_A","Phascolarctobacterium_A sp900551335","Phascolarctobacterium_A sp900551335"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_24_1168.237.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1696","Unknown_UMGS1696","UMGS1696 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_24_1168.271.fa","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","UBA636","Unknown_UBA636","UBA636 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_11_1531.18.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","F23-B02","F23-B02 sp004556755","F23-B02 sp004556755"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_5_1538.186.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotellamassilia","Unknown_Prevotellamassilia","Prevotellamassilia sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_5_1538.208.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unknown_Lachnospiraceae","Unknown_Lachnospiraceae","Lachnospiraceae unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_5_1538.51.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900546625","Agathobacter sp900546625"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_M_24_1194.22.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","Unknown_CAG-170","CAG-170 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_M_24_1194.86.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminiclostridium_E","Ruminiclostridium_E sp900556525","Ruminiclostridium_E sp900556525"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_M_8_1180.140.fa","Bacteria","Myxococcota","Bradimonadia","Bradymonadales","UBA4248","UBA4248","UBA4248 sp004554395","UBA4248 sp004554395"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_M_8_1180.80.fa","Bacteria","Verrucomicrobiota","Kiritimatiellae","RFP12","UBA1067","RUG572","RUG572 sp900547945","RUG572 sp900547945"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_N_3_1523.222.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","Unknown_CAG-272","Unknown_CAG-272","CAG-272 unk genus_1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_N_9_1519.136.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900554275","CAG-83 sp900554275"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_4_1196.321.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp004555405","Gemmiger sp004555405"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_6_1198.137.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","Unknown_CAG-110","CAG-110 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_6_1198.200.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Agathobaculum sp003481705","Agathobaculum sp003481705"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_6_1198.245.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","CAG-884","Unknown_CAG-884","CAG-884 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_P_17_1504.120.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","Unknown_CAG-302","Unknown_CAG-302_2","CAG-302 unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_P_17_1504.221.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp900539325","Eubacterium_R sp900539325"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_P_17_1504.72.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","Firm-11","Firm-11 sp900548145","Firm-11 sp900548145"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_P_17_1504.84.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1815","UMGS1815 sp900555345","UMGS1815 sp900555345"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_10_1818.92.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","Unknown_CAG-83","CAG-83 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_21_1706.216.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger variabilis_A","Gemmiger variabilis_A"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_8_1817.181.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","V9D3004","V9D3004 sp002349525","V9D3004 sp002349525"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_8_1817.264.fa","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UBA1381","Unknown_UBA1381","Unknown_UBA1381","UBA1381 unk genus"
